Geography,Date,Type,Percent Change from Baseline,ID Geography
"New Jersey","2020/02/15","Retail and Recreation",3,"04000US34"
"New Jersey","2020/02/16","Retail and Recreation",4,"04000US34"
"New Jersey","2020/02/17","Retail and Recreation",14,"04000US34"
"New Jersey","2020/02/18","Retail and Recreation",1,"04000US34"
"New Jersey","2020/02/19","Retail and Recreation",2,"04000US34"
"New Jersey","2020/02/20","Retail and Recreation",1,"04000US34"
"New Jersey","2020/02/21","Retail and Recreation",-1,"04000US34"
"New Jersey","2020/02/22","Retail and Recreation",7,"04000US34"
"New Jersey","2020/02/23","Retail and Recreation",6,"04000US34"
"New Jersey","2020/02/24","Retail and Recreation",1,"04000US34"
"New Jersey","2020/02/25","Retail and Recreation",-1,"04000US34"
"New Jersey","2020/02/26","Retail and Recreation",3,"04000US34"
"New Jersey","2020/02/27","Retail and Recreation",2,"04000US34"
"New Jersey","2020/02/28","Retail and Recreation",2,"04000US34"
"New Jersey","2020/02/29","Retail and Recreation",7,"04000US34"
"New Jersey","2020/03/01","Retail and Recreation",8,"04000US34"
"New Jersey","2020/03/02","Retail and Recreation",6,"04000US34"
"New Jersey","2020/03/03","Retail and Recreation",4,"04000US34"
"New Jersey","2020/03/04","Retail and Recreation",8,"04000US34"
"New Jersey","2020/03/05","Retail and Recreation",7,"04000US34"
"New Jersey","2020/03/06","Retail and Recreation",-2,"04000US34"
"New Jersey","2020/03/07","Retail and Recreation",9,"04000US34"
"New Jersey","2020/03/08","Retail and Recreation",8,"04000US34"
"New Jersey","2020/03/09","Retail and Recreation",8,"04000US34"
"New Jersey","2020/03/10","Retail and Recreation",5,"04000US34"
"New Jersey","2020/03/11","Retail and Recreation",6,"04000US34"
"New Jersey","2020/03/12","Retail and Recreation",5,"04000US34"
"New Jersey","2020/03/13","Retail and Recreation",-1,"04000US34"
"New Jersey","2020/03/14","Retail and Recreation",-7,"04000US34"
"New Jersey","2020/03/15","Retail and Recreation",-14,"04000US34"
"New Jersey","2020/03/16","Retail and Recreation",-10,"04000US34"
"New Jersey","2020/03/17","Retail and Recreation",-27,"04000US34"
"New Jersey","2020/03/18","Retail and Recreation",-30,"04000US34"
"New Jersey","2020/03/19","Retail and Recreation",-35,"04000US34"
"New Jersey","2020/03/20","Retail and Recreation",-35,"04000US34"
"New Jersey","2020/03/21","Retail and Recreation",-42,"04000US34"
"New Jersey","2020/03/22","Retail and Recreation",-57,"04000US34"
"New Jersey","2020/03/23","Retail and Recreation",-56,"04000US34"
"New Jersey","2020/03/24","Retail and Recreation",-46,"04000US34"
"New Jersey","2020/03/25","Retail and Recreation",-51,"04000US34"
"New Jersey","2020/03/26","Retail and Recreation",-46,"04000US34"
"New Jersey","2020/03/27","Retail and Recreation",-48,"04000US34"
"New Jersey","2020/03/28","Retail and Recreation",-59,"04000US34"
"New Jersey","2020/03/29","Retail and Recreation",-59,"04000US34"
"New Jersey","2020/03/30","Retail and Recreation",-49,"04000US34"
"New Jersey","2020/03/31","Retail and Recreation",-49,"04000US34"
"New Jersey","2020/04/01","Retail and Recreation",-47,"04000US34"
"New Jersey","2020/04/02","Retail and Recreation",-51,"04000US34"
"New Jersey","2020/04/03","Retail and Recreation",-62,"04000US34"
"New Jersey","2020/04/04","Retail and Recreation",-64,"04000US34"
"New Jersey","2020/04/05","Retail and Recreation",-66,"04000US34"
"New Jersey","2020/04/06","Retail and Recreation",-58,"04000US34"
"New Jersey","2020/04/07","Retail and Recreation",-57,"04000US34"
"New Jersey","2020/04/08","Retail and Recreation",-58,"04000US34"
"New Jersey","2020/04/09","Retail and Recreation",-61,"04000US34"
"New Jersey","2020/04/10","Retail and Recreation",-62,"04000US34"
"New Jersey","2020/04/11","Retail and Recreation",-61,"04000US34"
"New Jersey","2020/04/12","Retail and Recreation",-76,"04000US34"
"New Jersey","2020/04/13","Retail and Recreation",-70,"04000US34"
"New Jersey","2020/04/14","Retail and Recreation",-58,"04000US34"
"New Jersey","2020/04/15","Retail and Recreation",-56,"04000US34"
"New Jersey","2020/04/16","Retail and Recreation",-58,"04000US34"
"New Jersey","2020/04/17","Retail and Recreation",-59,"04000US34"
"New Jersey","2020/04/18","Retail and Recreation",-64,"04000US34"
"New Jersey","2020/04/19","Retail and Recreation",-62,"04000US34"
"New Jersey","2020/04/20","Retail and Recreation",-58,"04000US34"
"New Jersey","2020/04/21","Retail and Recreation",-60,"04000US34"
"New Jersey","2020/04/22","Retail and Recreation",-56,"04000US34"
