week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
1/16/2021,1/9/2021,04000US08,Colorado,13728,93383,0,0,1.61077E+12,"January 16th, 2021",04000US08,Colorado
1/16/2021,1/9/2021,04000US22,Louisiana,15424,59881,0,0,1.61077E+12,"January 16th, 2021",04000US22,Louisiana
1/16/2021,1/9/2021,04000US27,Minnesota,13680,143829,0,0,1.61077E+12,"January 16th, 2021",04000US27,Minnesota
1/16/2021,1/9/2021,04000US34,New Jersey,14046,143660,0,0,1.61077E+12,"January 16th, 2021",04000US34,New Jersey
1/16/2021,1/9/2021,04000US55,Wisconsin,16965,107132,0,0,1.61077E+12,"January 16th, 2021",04000US55,Wisconsin
1/9/2021,1/2/2021,04000US08,Colorado,14238,147288,0,0,1.61017E+12,"January 9th, 2021",04000US08,Colorado
1/9/2021,1/2/2021,04000US22,Louisiana,20497,85773,0,0,1.61017E+12,"January 9th, 2021",04000US22,Louisiana
1/9/2021,1/2/2021,04000US27,Minnesota,17301,152224,0,0,1.61017E+12,"January 9th, 2021",04000US27,Minnesota
1/9/2021,1/2/2021,04000US34,New Jersey,21836,156368,0,0,1.61017E+12,"January 9th, 2021",04000US34,New Jersey
1/9/2021,1/2/2021,04000US55,Wisconsin,22580,117324,0,0,1.61017E+12,"January 9th, 2021",04000US55,Wisconsin
1/2/2021,12/26/2020,04000US08,Colorado,25234,110035,2692685,4.09,1.60956E+12,"January 2nd, 2021",04000US08,Colorado
1/2/2021,12/26/2020,04000US22,Louisiana,25365,64404,1887456,3.41,1.60956E+12,"January 2nd, 2021",04000US22,Louisiana
1/2/2021,12/26/2020,04000US27,Minnesota,17482,148435,2871418,5.17,1.60956E+12,"January 2nd, 2021",04000US27,Minnesota
1/2/2021,12/26/2020,04000US34,New Jersey,20988,141210,4042393,3.49,1.60956E+12,"January 2nd, 2021",04000US34,New Jersey
1/2/2021,12/26/2020,04000US55,Wisconsin,19188,100783,2857433,3.53,1.60956E+12,"January 2nd, 2021",04000US55,Wisconsin
12/26/2020,12/19/2020,04000US08,Colorado,16702,103251,2692685,3.83,1.60896E+12,"December 26th, 2020",04000US08,Colorado
12/26/2020,12/19/2020,04000US22,Louisiana,8246,60641,1887456,3.21,1.60896E+12,"December 26th, 2020",04000US22,Louisiana
12/26/2020,12/19/2020,04000US27,Minnesota,16271,129135,2871418,4.5,1.60896E+12,"December 26th, 2020",04000US27,Minnesota
12/26/2020,12/19/2020,04000US34,New Jersey,20462,138261,4042393,3.42,1.60896E+12,"December 26th, 2020",04000US34,New Jersey
12/26/2020,12/19/2020,04000US55,Wisconsin,14294,89928,2857433,3.15,1.60896E+12,"December 26th, 2020",04000US55,Wisconsin
12/19/2020,12/12/2020,04000US08,Colorado,18165,98885,2692685,3.67,1.60835E+12,"December 19th, 2020",04000US08,Colorado
12/19/2020,12/12/2020,04000US22,Louisiana,7926,64448,1887456,3.41,1.60835E+12,"December 19th, 2020",04000US22,Louisiana
12/19/2020,12/12/2020,04000US27,Minnesota,14297,134220,2871418,4.67,1.60835E+12,"December 19th, 2020",04000US27,Minnesota
12/19/2020,12/12/2020,04000US34,New Jersey,17611,146200,4042393,3.62,1.60835E+12,"December 19th, 2020",04000US34,New Jersey
12/19/2020,12/12/2020,04000US55,Wisconsin,14119,97337,2857433,3.41,1.60835E+12,"December 19th, 2020",04000US55,Wisconsin
12/12/2020,12/5/2020,04000US08,Colorado,19897,97572,2692685,3.62,1.60775E+12,"December 12th, 2020",04000US08,Colorado
12/12/2020,12/5/2020,04000US22,Louisiana,9289,66810,1887456,3.54,1.60775E+12,"December 12th, 2020",04000US22,Louisiana
12/12/2020,12/5/2020,04000US27,Minnesota,16019,135667,2871418,4.72,1.60775E+12,"December 12th, 2020",04000US27,Minnesota
12/12/2020,12/5/2020,04000US34,New Jersey,16368,150410,4042393,3.72,1.60775E+12,"December 12th, 2020",04000US34,New Jersey
12/12/2020,12/5/2020,04000US55,Wisconsin,14662,94027,2857433,3.29,1.60775E+12,"December 12th, 2020",04000US55,Wisconsin
