Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,1/1/2019,34,NJ,34001,Atlantic County,"65,412","199,206","843,588","237,921","212,263","92,618","136,909","100,079","35,613","21,178","5,311",626,"1,070"
County,1/1/2019,34,NJ,34003,Bergen County,"237,866","695,963","2,722,275","812,551","703,573","319,765","398,958","325,758","90,433","38,672","17,805","4,522","10,238"
County,1/1/2019,34,NJ,34005,Burlington County,"100,791","343,232","1,315,760","350,422","316,098","150,400","197,259","201,325","58,958","28,598","8,528","1,939","2,233"
County,1/1/2019,34,NJ,34007,Camden County,"130,209","375,319","1,488,595","441,080","373,336","176,319","215,886","188,972","53,797","26,883","9,266","1,157","1,899"
County,1/1/2019,34,NJ,34009,Cape May County,"24,167","68,110","273,062","75,839","64,783","33,539","45,259","30,687","13,195","6,297","2,334",326,803
County,1/1/2019,34,NJ,34011,Cumberland County,"35,422","115,089","440,127","113,890","116,234","49,624","63,919","57,652","28,980","7,287","2,047",147,347
County,1/1/2019,34,NJ,34013,Essex County,"224,728","572,594","2,276,553","718,839","621,681","273,636","278,691","278,922","61,975","23,833","12,035","2,255","4,686"
County,1/1/2019,34,NJ,34015,Gloucester County,"65,554","224,963","900,555","231,405","217,871","103,298","139,222","144,300","42,787","14,081","5,776",636,"1,179"
County,1/1/2019,34,NJ,34017,Hudson County,"226,975","447,020","1,797,299","670,574","483,262","194,499","194,383","160,627","54,220","19,383","11,314","2,453","6,584"
County,1/1/2019,34,NJ,34019,Hunterdon County,"24,442","99,891","373,038","75,671","93,175","40,805","53,039","67,117","25,788","13,586","2,220",373,"1,264"
County,1/1/2019,34,NJ,34021,Mercer County,"95,606","273,075","1,057,978","288,101","298,155","133,360","143,396","102,267","58,338","26,377","5,542",808,"1,634"
County,1/1/2019,34,NJ,34023,Middlesex County,"201,429","625,720","2,465,380","704,570","619,807","284,206","339,554","292,440","163,781","40,314","13,386","2,656","4,666"
County,1/1/2019,34,NJ,34025,Monmouth County,"144,371","475,084","1,887,593","542,399","494,254","223,598","244,147","208,215","113,498","42,197","10,931","2,308","6,046"
County,1/1/2019,34,NJ,34027,Morris County,"112,316","380,401","1,462,399","356,636","388,498","163,207","219,337","203,370","92,846","24,118","8,947","1,668","3,772"
County,1/1/2019,34,NJ,34029,Ocean County,"137,725","462,087","1,776,943","457,632","487,327","212,876","236,737","210,310","86,091","69,398","9,123","1,332","6,117"
