State,14-Nov,21-Nov,28-Nov,5-Dec,12-Dec,19-Dec,26-Dec,2-Jan
Alabama,-23%,-22%,-22%,-28%,-29%,-20%,-21%,-9%
Alaska,-30%,-36%,-23%,-40%,-37%,-32%,-26%,-19%
Arizona,-31%,-29%,-19%,-35%,-35%,-26%,-32%,-11%
Arkansas,-26%,-26%,-26%,-31%,-32%,-28%,-24%,-15%
California,-42%,-44%,-36%,-44%,-50%,-43%,-49%,-43%
Colorado,-33%,-35%,-23%,-37%,-37%,-28%,-27%,-15%
Connecticut,-47%,-47%,-41%,-45%,-47%,-36%,-32%,-17%
Delaware,-21%,-24%,-26%,-34%,-30%,-25%,-23%,-1%
Florida,-41%,-37%,-29%,-42%,-40%,-32%,-38%,-20%
Georgia,-32%,-30%,-21%,-33%,-32%,-22%,-27%,-6%
Hawaii,-60%,-60%,-59%,-62%,-62%,-62%,-62%,-58%
Idaho,-27%,-22%,-12%,-25%,-25%,-19%,-15%,3%
Illinois,-55%,-56%,-52%,-59%,-55%,-49%,-47%,-35%
Indiana,-37%,-37%,-30%,-39%,-42%,-29%,-25%,-10%
Iowa,-33%,-36%,-35%,-38%,-35%,-31%,-28%,-18%
Kansas,-29%,-29%,-33%,-34%,-32%,-25%,-26%,-16%
Kentucky,-35%,-36%,-36%,-41%,-38%,-32%,-30%,-20%
Louisiana,-27%,-30%,-34%,-36%,-36%,-29%,-35%,-32%
Maine,-29%,-33%,-39%,-35%,-28%,-29%,-35%,-26%
Maryland,-34%,-37%,-29%,-39%,-39%,-30%,-30%,-15%
Massachusetts,-56%,-56%,-52%,-60%,-58%,-49%,-49%,-40%
Michigan,-35%,-39%,-42%,-46%,-45%,-36%,-36%,-21%
Minnesota,-46%,-46%,-43%,-50%,-49%,-43%,-44%,-35%
Mississippi,-17%,-16%,-20%,-22%,-19%,-17%,-22%,-9%
Missouri,-36%,-37%,-30%,-39%,-39%,-32%,-30%,-12%
Montana,-26%,-25%,-17%,-29%,-28%,-19%,-20%,-5%
Nebraska,-34%,-35%,-35%,-36%,-39%,-32%,-28%,-21%
Nevada,-41%,-37%,-34%,-50%,-50%,-35%,-42%,-31%
New Hampshire,-37%,-38%,-41%,-41%,-37%,-36%,-46%,-22%
New Jersey,-44%,-46%,-43%,-52%,-51%,-39%,-41%,-23%
New Mexico,-35%,-36%,-37%,-36%,-37%,-30%,-37%,-28%
New York,-65%,-65%,-65%,-67%,-68%,-66%,-66%,-58%
North Carolina,-33%,-34%,-30%,-37%,-38%,-32%,-31%,-17%
North Dakota,-36%,-36%,-33%,-37%,-35%,-31%,-30%,-26%
Ohio,-39%,-42%,-37%,-42%,-43%,-35%,-32%,-20%
Oklahoma,-24%,-24%,-28%,-31%,-31%,-27%,-24%,-15%
Oregon,-35%,-34%,-34%,-37%,-38%,-30%,-34%,-16%
Pennsylvania,-42%,-44%,-45%,-48%,-51%,-47%,-48%,-33%
Rhode Island,-42%,-43%,-44%,-47%,-48%,-39%,-41%,-24%
South Carolina,-30%,-30%,-27%,-35%,-32%,-29%,-34%,-14%
South Dakota,-21%,-24%,-16%,-29%,-24%,-33%,-21%,-6%
Tennessee,-30%,-29%,-23%,-34%,-35%,-26%,-28%,-14%
Texas,-36%,-35%,-29%,-37%,-37%,-28%,-28%,-18%
Utah,-30%,-27%,-11%,-31%,-31%,-21%,-27%,-5%
Vermont,-43%,-40%,-47%,-42%,-39%,-34%,-50%,-35%
Virginia,-37%,-38%,-33%,-41%,-41%,-35%,-33%,-15%
Washington,-44%,-47%,-41%,-48%,-48%,-39%,-38%,-25%
Washington D.C.,-65%,-69%,-63%,-70%,-69%,-66%,-64%,-56%
West Virginia,-30%,-35%,-35%,-40%,-36%,-36%,-35%,-21%
Wisconsin,-43%,-40%,-37%,-44%,-45%,-37%,-40%,-19%
Wyoming,-33%,-33%,-23%,-32%,-32%,-23%,-21%,-20%
Puerto Rico,-43%,-41%,-43%,-53%,-57%,-53%,-57%,-43%
,,,,,,,,
