date,2021,2020,2019
1-Jan,805990,2311732,2126398
2-Jan,1192881,2178656,2345103
3-Jan,1327289,2422272,2202111
4-Jan,1080346,2210542,2150571
5-Jan,766594,1806480,1975947
6-Jan,665855,1815040,2229391
7-Jan,771734,2034472,2044043
8-Jan,772471,2072543,1733739
9-Jan,709444,1687974,1739642
10-Jan,886536,2183734,1955200
11-Jan,708177,1992453,1959788
12-Jan,520117,1691205,1604862
13-Jan,567401,1876782,1970450
14-Jan,803688,2242656,1886642
15-Jan,903039,2347075,1605758
16-Jan,690438,1781893,1786012
17-Jan,810654,2000260,2139242
18-Jan,878048,2298616,2271398
19-Jan,560190,1870459,1600698
20-Jan,542338,1801444,1776235
21-Jan,728978,2100401,2179066
22-Jan,755028,2145063,1804629
23-Jan,603527,1645196,1763884
24-Jan,838116,2136584,1991328
25-Jan,,,
26-Jan,,,
27-Jan,,,
28-Jan,,,
29-Jan,,,
30-Jan,,,
31-Jan,,,
1-Feb,,,
2-Feb,,,
3-Feb,,,
4-Feb,,,
5-Feb,,,
6-Feb,,,
7-Feb,,,
8-Feb,,,
9-Feb,,,
10-Feb,,,
11-Feb,,,
12-Feb,,,
13-Feb,,,
14-Feb,,,
15-Feb,,,
16-Feb,,,
17-Feb,,,
18-Feb,,,
19-Feb,,,
20-Feb,,,
21-Feb,,,
22-Feb,,,
23-Feb,,,
24-Feb,,,
25-Feb,,,
26-Feb,,,
27-Feb,,,
28-Feb,,,
1-Mar,,2280522,2301439
2-Mar,,2089641,2257920
3-Mar,,1736393,1979558
4-Mar,,1877401,2143619
5-Mar,,2130015,2402692
6-Mar,,2198517,2543689
7-Mar,,1844811,2156262
8-Mar,,2119867,2485430
9-Mar,,1909363,2378673
10-Mar,,1617220,2122898
11-Mar,,1702686,2187298
12-Mar,,1788456,2503924
13-Mar,,1714372,2634215
14-Mar,,1485553,2274658
15-Mar,,1519192,2545742
16-Mar,,1257823,2465709
17-Mar,,953699,2177929
18-Mar,,779631,2320885
19-Mar,,620883,2513231
20-Mar,,593167,2559307
21-Mar,,548132,2227181
22-Mar,,454516,2542643
23-Mar,,331431,2434370
24-Mar,,279018,2151913
25-Mar,,239234,2273811
26-Mar,,203858,2487162
27-Mar,,199644,2538384
28-Mar,,184027,2172920
29-Mar,,180002,2510294
30-Mar,,154080,2360053
31-Mar,,146348,2026256
1-Apr,,136023,2151626
2-Apr,,124021,2411500
3-Apr,,129763,2476884
4-Apr,,118302,2011715
5-Apr,,122029,2462929
6-Apr,,108310,2384091
7-Apr,,97130,2091056
8-Apr,,94931,2229276
9-Apr,,104090,2487398
10-Apr,,108977,2590499
11-Apr,,93645,2059142
12-Apr,,90510,2446801
13-Apr,,102184,2484580
14-Apr,,87534,2208688
15-Apr,,90784,2317381
16-Apr,,95085,2616158
17-Apr,,106385,2457133
18-Apr,,97236,1988205
19-Apr,,105382,2356802
20-Apr,,99344,2594171
21-Apr,,92859,2227475
22-Apr,,98968,2254209
23-Apr,,111627,2526961
24-Apr,,123464,2521897
25-Apr,,114459,1990464
26-Apr,,128875,2506809
27-Apr,,119854,2412770
28-Apr,,110913,2102068
29-Apr,,119629,2256442
30-Apr,,154695,2499461
1-May,,171563,2546029
2-May,,134261,1968278
3-May,,170254,2512598
4-May,,163692,2470969
5-May,,130601,2106597
6-May,,140409,2270662
7-May,,190863,2555342
8-May,,215444,2602631
9-May,,169580,1985942
10-May,,200815,2419114
11-May,,215645,2512315
12-May,,163205,2191387
13-May,,176667,2343675
14-May,,234928,2611324
15-May,,250467,2664549
16-May,,193340,2091116
17-May,,253807,2620276
18-May,,244176,2615691
19-May,,190477,2312727
20-May,,230367,2472123
21-May,,318449,2673635
22-May,,348673,2792670
23-May,,253190,2124825
24-May,,267451,2070716
25-May,,340769,2512237
26-May,,264843,2453649
27-May,,261170,2269035
28-May,,321776,2485770
29-May,,327133,2570613
30-May,,268867,2117180
31-May,,352947,2555578
1-Jun,,353261,2499002
2-Jun,,267742,2247421
3-Jun,,304436,2370152
4-Jun,,391882,2623947
5-Jun,,419675,2649808
6-Jun,,353016,2225952
7-Jun,,441255,2669860
8-Jun,,430414,2644981
9-Jun,,338382,2433189
10-Jun,,386969,2509058
11-Jun,,502209,2675686
12-Jun,,519304,2727860
13-Jun,,437119,2318946
14-Jun,,544046,2642083
15-Jun,,534528,2699580
16-Jun,,417924,2466574
17-Jun,,441829,2552395
18-Jun,,576514,2728786
19-Jun,,587908,2772903
20-Jun,,507129,2378559
21-Jun,,590456,2719643
22-Jun,,607540,2716428
23-Jun,,471421,2506510
24-Jun,,494826,2594661
25-Jun,,623624,2711222
26-Jun,,632984,2730515
27-Jun,,546310,2368846
28-Jun,,633810,2632030
29-Jun,,625235,2455536
30-Jun,,500054,2347767
1-Jul,,626516,2547889
2-Jul,,764761,2088760
3-Jul,,718988,2184253
4-Jul,,466669,2345846
5-Jul,,732123,2795369
6-Jul,,755555,2748718
7-Jul,,641761,2506859
8-Jul,,632498,2515902
9-Jul,,709653,2608209
10-Jul,,711124,2716812
11-Jul,,656284,2312178
12-Jul,,754545,2669717
13-Jul,,697985,2615115
14-Jul,,540268,2447177
15-Jul,,589285,2522563
16-Jul,,706164,2716828
17-Jul,,720378,2776960
18-Jul,,646654,2396462
19-Jul,,747422,2727355
20-Jul,,695330,2635312
21-Jul,,530421,2499460
22-Jul,,570951,2561911
23-Jul,,704815,2705399
24-Jul,,724770,2732770
25-Jul,,649027,2364925
26-Jul,,751205,2700723
27-Jul,,700043,2613346
28-Jul,,536756,2438967
29-Jul,,573200,2542365
30-Jul,,718310,2742882
31-Jul,,767320,2730936
1-Aug,,709033,2367967
2-Aug,,799861,2688640
3-Aug,,737235,2619406
4-Aug,,543601,2387115
5-Aug,,595739,2430094
6-Aug,,743599,2707986
7-Aug,,762547,2725000
8-Aug,,683212,2290340
9-Aug,,831789,2647897
10-Aug,,761861,2567986
11-Aug,,559420,2306829
12-Aug,,590749,2391906
13-Aug,,761821,2602446
14-Aug,,783744,2627564
15-Aug,,689895,2171962
16-Aug,,862949,2584444
17-Aug,,773319,2576965
18-Aug,,565946,2247446
19-Aug,,586718,2306838
20-Aug,,772380,2533184
21-Aug,,764468,2559244
22-Aug,,625822,2039233
23-Aug,,841806,2493162
24-Aug,,726788,2358007
25-Aug,,523186,2015088
26-Aug,,540043,2188688
27-Aug,,721060,2561109
28-Aug,,738873,2658558
29-Aug,,591734,1954902
30-Aug,,807695,1887845
31-Aug,,711178,2278159
1-Sep,,516068,2037750
2-Sep,,578131,1889044
3-Sep,,877698,2109858
4-Sep,,968673,2198828
5-Sep,,664640,1755502
6-Sep,,689630,2370003
7-Sep,,935308,2292985
8-Sep,,704075,1943379
9-Sep,,616923,2005867
10-Sep,,755051,2449302
11-Sep,,731353,2484025
12-Sep,,613703,1879822
13-Sep,,809850,2485134
14-Sep,,729558,2405832
15-Sep,,522383,2013050
16-Sep,,577847,2146857
17-Sep,,784746,2455410
18-Sep,,812214,2571924
19-Sep,,638575,1938402
20-Sep,,847968,2517826
21-Sep,,769936,2431388
22-Sep,,549741,2033490
23-Sep,,608726,2188236
24-Sep,,826316,2510926
25-Sep,,826329,2547611
26-Sep,,659350,1966234
27-Sep,,873038,2452596
28-Sep,,797699,2368818
29-Sep,,568688,1998980
30-Sep,,634046,2082179
1-Oct,,855908,2447687
2-Oct,,857186,2526835
3-Oct,,677661,1921185
4-Oct,,900911,2542118
5-Oct,,816838,2400153
6-Oct,,590766,2035628
7-Oct,,668519,2215233
8-Oct,,936915,2605291
9-Oct,,968545,2688032
10-Oct,,769868,2074718
11-Oct,,984234,2555333
12-Oct,,958440,2616771
13-Oct,,680894,2313632
14-Oct,,717940,2317763
15-Oct,,950024,2581007
16-Oct,,973046,2637667
17-Oct,,788743,2049855
